Timestamp,Please enter your course ID:,"Question 1
On a scale of 1 to 5, how would you rate your current academic workload this term?","Question 2
How many hours a week do you study this semester? (Enter a number)","Question 3
Since the beginning of this term, how frequently have you experienced stress due to your academic workload?
(Please select one option for each item)","Question 4
Since the beginning of this term, how frequently have you experienced anxiety due to your academic workload?
(Please select one option for each item)","Question 5 Since the beginning of this term, how frequently have you found it difficult to concentrate on your academic work?
(Please select one option for each item)","Question 6

On average, how many hours of sleep do you get per night during this semester? Enter a number.","Question 7

Which of the following best describes your current living situation?","Question 8

Time management issues (i.e., taken on too many responsibilities, cannot finish a
previously set commitment)","Question 9

Missing out on social events (hangouts, networking, parties, etc.)","Question 10

Financial problems"
10/12/2024 21:47:17,soccer,4,45326,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living on campus in a resident hall or dormitory,Often,Often,Very Often
10/13/2024 18:27:08,MathIsBetter456,4,45,I sometimes experienced stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,8,Living off-campus with roommates (not family),Sometimes,Never,Sometimes
10/13/2024 21:30:52,AdditiveModel997,4,10,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,8,Living off-campus with roommates (not family),Rarely,Often,Sometimes
10/14/2024 0:59:00,HappyTent723,4,10,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,8,Living off-campus alone,Sometimes,Sometimes,Sometimes
10/14/2024 4:06:54,Doodle239,5,3,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,7,Living with family or relatives off-campus,Often,Rarely,Rarely
10/15/2024 0:47:35,ComputationalStatistics943,5,35,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,10,Living off-campus with roommates (not family),Very Often,Rarely,Rarely
10/16/2024 0:51:05,AdditiveModel996,3,5,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I always find it difficult to concentrate academically.,4,Living with family or relatives off-campus,Sometimes,Sometimes,Rarely
10/16/2024 11:11:15,ClubPenguinP1,4,30,I always experience stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,6,Living with family or relatives off-campus,Sometimes,Often,Never
10/16/2024 20:33:02,HonkaiStarRail,3,21,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Sometimes,Sometimes,Rarely
10/16/2024 22:41:57,variance,4,15,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I have never found it difficult to concentrate academically.,7,Living with family or relatives off-campus,Rarely,Sometimes,Never
10/17/2024 10:57:09,WowWowWow986,3,15,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,9,Living off-campus with roommates (not family),Sometimes,Rarely,Never
10/17/2024 16:08:28,Genshinlmpact,5,15,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus alone,Rarely,Rarely,Never
10/17/2024 22:08:31,GPADestroyeryyy,4,6,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Rarely,Very Often,Never
10/18/2024 12:13:51,basketball,4,25,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,7.5,Living on campus in a resident hall or dormitory,Often,Never,Never
10/18/2024 17:09:16,Veggie656,4,12,I have never experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,8,Living off-campus alone,Never,Never,Sometimes
10/18/2024 18:11:17,Biostatistics584,5,35,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,6,Living off-campus with roommates (not family),Very Often,Sometimes,Rarely
10/18/2024 19:25:16,project024,3,13,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I always find it difficult to concentrate academically.,6,Living off-campus with roommates (not family),Sometimes,Often,Very Often
10/19/2024 14:40:00,Teletubbies345,4,40,I always experience stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,7,Living off-campus with roommates (not family),Often,Often,Sometimes
10/19/2024 14:53:40,Moolah,4,10 (23 if count the campus lec tut),I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I have never found it difficult to concentrate academically.,07¿ù 08ÀÏ,Living off-campus with roommates (not family),Rarely,Often,Sometimes
10/19/2024 18:41:04,Monneh,5,35,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,6,Living on campus in a resident hall or dormitory,Sometimes,Sometimes,Sometimes
10/19/2024 18:54:42,football,3,15,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,6,Living with family or relatives off-campus,Often,Often,Rarely
10/19/2024 19:29:55,project789,5,20,I sometimes experienced stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,5,Living off-campus alone,Often,Very Often,Very Often
10/19/2024 21:49:19,Bachelor242,4,20,I always experience stress caused by my academic workload,I always experience anxiety from my academic workload,I have never found it difficult to concentrate academically.,6,Living off-campus with roommates (not family),Sometimes,Very Often,Rarely
10/20/2024 14:34:26,rayrayray1,4,24,I always experience stress caused by my academic workload,I have sometimes experienced anxiety from my academic workload,I sometimes find it difficult to concentrate academically.,8,Living with family or relatives off-campus,Often,Sometimes,Often
